Workclass,Education,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Hours per week,Country,Target,Age,Capital Gain,Capital Loss,age_binary
State-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,42,0,0,0
Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,20,United-States,<=50K,44,0,0,1
Private,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Male,50,United-States,<=50K,26,4101,0,0
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,Taiwan,>50K,56,0,0,1
State-gov,Some-college,10,Separated,Exec-managerial,Not-in-family,White,Female,45,United-States,<=50K,62,0,0,1
Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,32,United-States,<=50K,41,0,0,0
State-gov,Some-college,10,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,40,Philippines,<=50K,41,0,0,0
,9th,5,Widowed,,Unmarried,White,Female,15,United-States,<=50K,20,1111,0,0
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K,47,0,0,1
Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,<=50K,48,0,0,1
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K,12,0,0,0
Self-emp-not-inc,12th,8,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,>50K,30,0,0,0
Private,Masters,14,Never-married,Sales,Not-in-family,White,Male,60,United-States,<=50K,19,0,0,0
Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,38,0,0,0
Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,38,United-States,<=50K,71,0,0,1
Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,25,United-States,<=50K,40,0,0,0
Private,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,>50K,40,8614,0,0
State-gov,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,19,3411,0,0
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,>50K,23,0,0,0
,11th,7,Married-spouse-absent,,Own-child,Asian-Pac-Islander,Female,40,South,<=50K,71,0,1762,1
Private,9th,5,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,29,0,1721,0
Federal-gov,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K,52,0,0,1
,11th,7,Never-married,,Own-child,White,Female,20,United-States,<=50K,50,0,0,1
Self-emp-not-inc,11th,7,Never-married,Farming-fishing,Own-child,White,Male,10,United-States,<=50K,38,0,0,0
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,53,0,0,1
Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,27,0,0,0
Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,47,2597,0,1
Private,12th,8,Never-married,Other-service,Own-child,White,Male,16,United-States,<=50K,51,0,0,1
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,Mexico,<=50K,37,0,0,0
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,45,United-States,<=50K,56,0,0,1
Self-emp-not-inc,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Male,50,United-States,<=50K,28,0,0,0
Local-gov,HS-grad,9,Never-married,Protective-serv,Own-child,White,Male,48,United-States,<=50K,46,0,0,1
Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Portugal,>50K,42,0,0,0
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,69,0,0,1
Local-gov,Some-college,10,Separated,Exec-managerial,Unmarried,Black,Male,40,United-States,<=50K,59,0,0,1
State-gov,11th,7,Never-married,Adm-clerical,Own-child,White,Female,5,United-States,<=50K,52,0,0,1
Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,38,0,0,0
,7th-8th,4,Never-married,,Not-in-family,White,Male,4,United-States,<=50K,64,0,0,1
Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,55,United-States,<=50K,44,0,0,1
Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,35,Dominican-Republic,<=50K,21,0,0,0
Private,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,30,United-States,<=50K,17,0,0,0
Local-gov,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K,44,0,0,1
Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,Black,Female,45,United-States,<=50K,11,0,0,0
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K,20,0,0,0
Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,20,United-States,<=50K,64,0,0,1
State-gov,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,20,United-States,<=50K,67,0,0,1
,Assoc-acdm,12,Never-married,,Other-relative,White,Male,45,United-States,<=50K,66,0,0,1
Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,60,United-States,>50K,12,0,0,0
Private,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,59,0,1902,1
Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,40,Poland,<=50K,13,0,0,0
Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,20,United-States,<=50K,73,0,0,1
Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States,<=50K,33,0,0,0
Private,Bachelors,13,Widowed,Sales,Unmarried,White,Female,40,Cuba,<=50K,67,0,1380,1
Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,30,United-States,<=50K,18,0,0,0
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,52,0,0,1
Private,Doctorate,16,Divorced,Prof-specialty,Unmarried,White,Female,65,United-States,>50K,25,25236,0,0
Private,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Female,50,United-States,>50K,24,0,0,0
Private,12th,8,Married-civ-spouse,Other-service,Husband,Black,Male,40,Jamaica,<=50K,46,0,0,1
Private,Some-college,10,Never-married,Sales,Not-in-family,Black,Male,40,United-States,<=50K,16,0,0,0
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,<=50K,12,0,0,0
Private,11th,7,Never-married,Other-service,Other-relative,White,Male,25,United-States,<=50K,51,0,0,1
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,49,0,0,1
Private,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K,58,0,0,1
Private,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,40,,<=50K,62,0,0,1
Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,<=50K,29,4386,0,0
Local-gov,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,35,Honduras,<=50K,52,0,0,1
Private,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,40,United-States,<=50K,19,0,0,0
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,39,0,0,0
State-gov,HS-grad,9,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K,33,0,0,0
Private,Some-college,10,Never-married,Sales,Own-child,White,Female,15,United-States,<=50K,35,0,0,0
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,28,0,0,0
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K,11,0,0,0
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K,24,0,2051,0
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,59,4650,0,1
Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,42,United-States,>50K,28,0,0,0
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,58,7298,0,1
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,40,,>50K,31,0,0,0
Private,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,40,United-States,<=50K,56,0,0,1
Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,20,United-States,<=50K,19,0,0,0
Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,Mexico,<=50K,51,0,0,1
Self-emp-not-inc,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,59,,>50K,24,9386,0,0
Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,24,United-States,<=50K,73,0,0,1
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,40,United-States,<=50K,11,0,0,0
Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,<=50K,12,0,2377,0
Private,Assoc-voc,11,Never-married,Other-service,Own-child,White,Female,15,United-States,<=50K,60,0,0,1
,Some-college,10,Married-civ-spouse,,Wife,Black,Female,40,United-States,<=50K,14,0,0,0
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,13,2407,0,0
Private,Some-college,10,Never-married,Sales,Not-in-family,Black,Female,36,United-States,<=50K,44,0,0,1
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K,29,0,0,0
Private,HS-grad,9,Widowed,Other-service,Unmarried,Black,Female,20,United-States,<=50K,26,594,0,0
Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,26,0,0,0
Private,Some-college,10,Never-married,Other-service,Other-relative,White,Female,25,United-States,<=50K,14,0,0,0
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,72,United-States,<=50K,48,0,0,1
Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,>50K,61,14084,0,1
Private,Assoc-voc,11,Never-married,Tech-support,Own-child,White,Male,40,United-States,<=50K,69,0,0,1
Private,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,20,United-States,<=50K,49,0,0,1
Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K,25,0,0,0
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K,67,7688,0,1
Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,40,United-States,<=50K,70,0,0,1
Private,11th,7,Never-married,Craft-repair,Own-child,Black,Male,40,Haiti,<=50K,54,0,0,1
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,37,United-States,<=50K,22,0,0,0
State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,27,7688,0,0
Private,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Male,20,United-States,<=50K,44,0,0,1
Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,28,0,0,0
Private,HS-grad,9,Never-married,Transport-moving,Unmarried,White,Male,50,United-States,<=50K,19,0,0,0
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,69,0,0,1
Private,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,38,United-States,<=50K,12,0,0,0
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K,26,0,0,0
Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,<=50K,36,0,0,0
Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K,20,0,0,0
Private,HS-grad,9,Never-married,Farming-fishing,Not-in-family,Black,Male,40,United-States,<=50K,52,0,0,1
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,18,United-States,<=50K,38,0,0,0
Local-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,38,United-States,>50K,60,0,0,1
Local-gov,HS-grad,9,Divorced,Protective-serv,Unmarried,White,Male,40,Portugal,<=50K,68,0,0,1
Self-emp-inc,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,United-States,>50K,64,0,0,1
Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,55,United-States,>50K,29,0,0,0
Private,10th,6,Separated,Other-service,Unmarried,White,Female,42,United-States,<=50K,60,0,0,1
State-gov,Some-college,10,Married-spouse-absent,Other-service,Other-relative,White,Male,40,United-States,<=50K,24,0,0,0
Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,30,Germany,<=50K,39,0,0,0
Self-emp-not-inc,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,50,United-States,<=50K,56,0,0,1
Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,68,0,0,1
Private,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Female,38,United-States,<=50K,36,0,0,0
Private,5th-6th,3,Separated,Farming-fishing,Not-in-family,White,Male,32,Guatemala,<=50K,71,0,0,1
Private,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,55,United-States,<=50K,43,0,0,1
Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,24,United-States,>50K,13,0,0,0
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,38,United-States,<=50K,55,0,0,1
Local-gov,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,56,United-States,<=50K,55,0,0,1
Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,69,0,0,1
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,,<=50K,52,0,0,1
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,43,0,0,1
Private,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,40,United-States,<=50K,11,0,0,0
State-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,,<=50K,39,0,0,0
Private,Assoc-voc,11,Never-married,Machine-op-inspct,Not-in-family,White,Female,42,United-States,<=50K,28,0,1669,0
Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,69,0,0,1
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,39,0,0,0
Private,Bachelors,13,Never-married,Sales,Not-in-family,Other,Female,55,United-States,>50K,27,0,0,0
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,38,United-States,<=50K,24,0,0,0
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K,37,0,2352,0
Private,12th,8,Never-married,Machine-op-inspct,Own-child,White,Male,30,United-States,<=50K,39,0,0,0
,HS-grad,9,Married-civ-spouse,,Husband,White,Male,16,United-States,<=50K,56,0,0,1
,HS-grad,9,Never-married,,Not-in-family,White,Female,40,United-States,<=50K,24,1055,0,0
Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,>50K,16,0,0,0
Self-emp-inc,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,<=50K,67,0,0,1
,Some-college,10,Never-married,,Own-child,White,Male,33,United-States,<=50K,60,0,0,1
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,40,United-States,<=50K,54,2463,0,1
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,>50K,28,0,0,0
Private,Some-college,10,Never-married,Other-service,Other-relative,Black,Male,20,United-States,<=50K,18,0,0,0
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,26,0,0,0
Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Male,40,United-States,<=50K,21,0,0,0
Private,Masters,14,Never-married,Tech-support,Not-in-family,White,Male,35,United-States,>50K,67,0,0,1
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,England,>50K,70,0,1902,1
Private,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,38,0,0,0
Private,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,30,United-States,<=50K,46,0,1721,1
Self-emp-not-inc,11th,7,Never-married,Farming-fishing,Unmarried,White,Male,20,United-States,<=50K,31,0,0,0
Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,38,United-States,<=50K,42,0,0,0
Private,11th,7,Never-married,Sales,Own-child,White,Female,20,United-States,<=50K,16,0,0,0
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,48,United-States,>50K,16,5178,0,0
,Masters,14,Married-spouse-absent,,Other-relative,White,Male,40,United-States,<=50K,52,0,0,1
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,47,United-States,>50K,36,3103,0,0
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,35,0,0,0
Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,30,United-States,<=50K,45,0,0,1
Private,HS-grad,9,Separated,Other-service,Own-child,White,Female,36,United-States,<=50K,39,0,0,0
,Some-college,10,Never-married,,Own-child,Black,Male,40,United-States,<=50K,44,0,0,1
Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,45,United-States,<=50K,52,0,0,1
Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,25,0,0,0
Private,10th,6,Never-married,Farming-fishing,Own-child,White,Male,20,United-States,<=50K,25,0,0,0
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,75,Italy,<=50K,21,0,0,0
Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,60,United-States,<=50K,13,0,0,0
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,>50K,15,0,0,0
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,<=50K,41,0,0,0
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,>50K,11,0,0,0
Private,Assoc-voc,11,Never-married,Adm-clerical,Unmarried,White,Male,40,United-States,<=50K,30,0,0,0
Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,46,United-States,<=50K,73,0,0,1
Private,Assoc-voc,11,Never-married,Tech-support,Own-child,White,Male,40,United-States,<=50K,15,0,0,0
Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,37,0,0,0
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,63,0,1672,1
Private,HS-grad,9,Widowed,Transport-moving,Unmarried,White,Male,42,United-States,>50K,22,0,653,0
Private,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,40,United-States,<=50K,14,0,0,0
Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,White,Female,24,United-States,<=50K,49,0,0,1
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,25,United-States,<=50K,13,0,0,0
Self-emp-inc,Bachelors,13,Never-married,Sales,Own-child,White,Male,40,United-States,<=50K,47,0,0,1
,11th,7,Married-civ-spouse,,Husband,White,Male,15,United-States,<=50K,52,0,0,1
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K,46,4386,0,1
Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,44,0,0,1
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,44,0,0,1
,11th,7,Widowed,,Not-in-family,White,Female,24,United-States,<=50K,28,0,0,0
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,37,0,0,0
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,20,0,0,0
Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,52,0,0,1
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,50,United-States,<=50K,69,0,0,1
Private,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Male,6,United-States,<=50K,28,0,0,0
Private,11th,7,Never-married,Sales,Own-child,White,Male,20,United-States,<=50K,67,0,0,1
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K,23,0,0,0
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,29,0,0,0
Local-gov,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Female,48,United-States,<=50K,14,0,0,0
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,49,4386,0,1
Private,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,61,0,0,1
Local-gov,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,50,United-States,<=50K,53,0,0,1
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,56,0,0,1
Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,69,0,0,1
Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,18,United-States,<=50K,50,0,0,1
Private,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K,73,0,0,1
Private,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,White,Female,55,United-States,<=50K,28,0,0,0
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,14,0,0,0
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,55,0,0,1
State-gov,Doctorate,16,Divorced,Prof-specialty,Own-child,White,Male,50,United-States,>50K,38,0,0,0
Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K,58,0,0,1
Local-gov,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,64,0,0,1
Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,>50K,60,0,0,1
Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,40,United-States,<=50K,13,0,0,0
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,56,United-States,>50K,69,0,0,1
Private,11th,7,Never-married,Adm-clerical,Own-child,White,Female,20,United-States,<=50K,41,0,0,0
Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,Mexico,<=50K,36,0,0,0
Private,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,<=50K,47,0,0,1
Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,United-States,<=50K,38,0,0,0
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,49,0,0,1
Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,15,United-States,<=50K,51,0,0,1
Private,10th,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,33,0,0,0
Private,11th,7,Never-married,Sales,Own-child,White,Male,28,United-States,<=50K,63,0,0,1
Private,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,>50K,38,0,0,0
Self-emp-not-inc,Bachelors,13,Separated,Prof-specialty,Own-child,White,Male,40,United-States,<=50K,32,0,0,0
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,16,0,0,0
Private,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,50,United-States,<=50K,69,0,0,1
Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,17,10605,0,0
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40,China,>50K,37,0,2415,0
Private,5th-6th,3,Divorced,Other-service,Unmarried,Black,Male,25,United-States,<=50K,29,0,0,0
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,20,0,0,0
Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Black,Female,7,United-States,<=50K,35,0,0,0
Private,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,59,0,0,1
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K,22,0,0,0
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,30,United-States,<=50K,18,0,0,0
Private,9th,5,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K,19,0,0,0
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,40,Philippines,>50K,68,0,0,1
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,70,United-States,<=50K,49,0,0,1
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,50,0,0,1
Private,Some-college,10,Married-civ-spouse,Craft-repair,Wife,White,Female,60,United-States,<=50K,56,0,0,1
,Some-college,10,Married-civ-spouse,,Husband,White,Male,15,United-States,<=50K,46,0,0,1
Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,28,United-States,<=50K,54,0,0,1
Self-emp-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,60,,<=50K,71,0,0,1
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,40,United-States,<=50K,45,0,0,1
Private,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Female,45,United-States,<=50K,64,2174,0,1
,Some-college,10,Divorced,,Unmarried,Black,Female,30,United-States,<=50K,71,0,0,1
Self-emp-not-inc,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K,49,0,0,1
Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,40,India,<=50K,23,0,0,0
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,19,7688,0,0
Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Farming-fishing,Husband,White,Male,65,United-States,>50K,21,0,0,0
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,30,0,0,0
Private,Some-college,10,Divorced,Sales,Own-child,White,Male,55,United-States,<=50K,72,0,0,1
Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,50,United-States,<=50K,18,0,0,0
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,34,0,0,0
Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,<=50K,65,0,0,1
Local-gov,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,55,United-States,<=50K,47,0,0,1
Self-emp-not-inc,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,20,United-States,<=50K,57,0,0,1
